X,Y,Z
-1.470494,0.03018295,-3.163776
-1.475021,0.03243641,-3.173132
-1.475375,0.03704751,-3.172372
-1.470458,0.03459926,-3.162207
-1.480122,0.03726855,-3.182905
-1.465984,0.0259661,-3.155117
-1.465558,0.0300179,-3.152799
-1.479389,0.03263987,-3.182827
-1.484514,0.0352539,-3.1934
-1.461664,0.0199479,-3.147488
-1.460864,0.02347949,-3.144511
-1.483433,0.03078552,-3.192487
-1.488385,0.03108098,-3.203454
-1.457699,0.01235964,-3.141182
-1.456556,0.0152353,-3.137661
-1.486995,0.0269446,-3.201741
-1.491584,0.02491016,-3.212681
-1.454242,0.003492922,-3.136443
-1.452801,0.005602144,-3.132511
-1.48994,0.02126475,-3.210234
-1.493989,0.01697857,-3.220726
-1.451427,-0.006311513,-3.133451
-1.449742,-0.005049795,-3.129261
-1.492153,0.01396421,-3.217639
-1.495507,0.007591031,-3.22728
-1.44936,-0.01667688,-3.132323
-1.447496,-0.01631114,-3.128035
-1.493551,0.005323574,-3.223672
-1.49608,-0.002891719,-3.232091
-1.448122,-0.02720485,-3.1331
-1.446151,-0.02774915,-3.12888
-1.494078,-0.004325137,-3.2281
-1.495687,-0.01406682,-3.234974
-1.447759,-0.03749083,-3.135754
-1.445757,-0.03892425,-3.131763
-1.493716,-0.01461112,-3.230754
-1.494341,-0.02550483,-3.235819
-1.448287,-0.04713954,-3.140182
-1.446331,-0.049407,-3.136574
-1.492478,-0.0251391,-3.231531
-1.492096,-0.03676619,-3.234593
-1.449685,-0.05578019,-3.146215
-1.447849,-0.05879455,-3.143128
-1.490411,-0.03550447,-3.230403
-1.489037,-0.04741812,-3.231343
-1.451898,-0.06308072,-3.15362
-1.450254,-0.06672613,-3.151173
-1.487595,-0.0453089,-3.227411
-1.485281,-0.05705127,-3.226193
-1.454843,-0.06876058,-3.162113
-1.453453,-0.07289696,-3.1604
-1.484139,-0.05417562,-3.222672
-1.480974,-0.06529546,-3.219343
-1.458405,-0.07260148,-3.171367
-1.457323,-0.07706987,-3.170454
-1.480174,-0.06176388,-3.216366
-1.47628,-0.07183387,-3.211055
-1.462448,-0.07445584,-3.181027
-1.461716,-0.07908452,-3.180949
-1.475853,-0.06778207,-3.208737
-1.47138,-0.07641524,-3.201647
-1.466817,-0.07425238,-3.190722
-1.466462,-0.07886347,-3.191482
-1.471343,-0.07199893,-3.200078
-1.459487,-0.06813309,-3.17228
-1.463181,-0.06982716,-3.181105
-1.467172,-0.06964129,-3.189961
-1.471307,-0.06758263,-3.198509
-1.475427,-0.06373028,-3.20642
-1.479374,-0.0582323,-3.213389
-1.456232,-0.06462421,-3.163826
-1.482996,-0.05129996,-3.21915
-1.453542,-0.05943531,-3.156067
-1.486154,-0.04319969,-3.22348
-1.45152,-0.05276584,-3.149302
-1.488726,-0.03424275,-3.226213
-1.450243,-0.04487209,-3.143791
-1.490614,-0.02477336,-3.227244
-1.449761,-0.03605741,-3.139745
-1.491746,-0.01515543,-3.226533
-1.450092,-0.02666055,-3.137321
-1.492077,-0.005758561,-3.224109
-1.451223,-0.01704261,-3.13661
-1.491594,0.003056124,-3.220063
-1.453112,-0.007573232,-3.137641
-1.490318,0.01094985,-3.214552
-1.455684,0.001383699,-3.140374
-1.488295,0.01761933,-3.207787
-1.458842,0.009483978,-3.144704
-1.485605,0.02280823,-3.200028
-1.462464,0.01641633,-3.150465
-1.482351,0.02631713,-3.191574
-1.466411,0.0219143,-3.157434
-1.478657,0.02801119,-3.182749
-1.470531,0.02576665,-3.165345
-1.474666,0.02782532,-3.173892
-1.459985,0.00660833,-3.148226
-1.463264,0.01288474,-3.153442
-1.466837,0.01786251,-3.159751
-1.470568,0.02135035,-3.166914
-1.474312,0.02321423,-3.174653
-1.477925,0.02338251,-3.182671
-1.457125,-0.0007255152,-3.144306
-1.481269,0.02184873,-3.190661
-1.454796,-0.008834958,-3.141832
-1.484216,0.01867186,-3.198316
-1.453087,-0.01740836,-3.140898
-1.486651,0.01397392,-3.20534
-1.452063,-0.02611625,-3.141541
-1.488482,0.007935502,-3.211465
-1.451763,-0.03462399,-3.143736
-1.489638,0.0007886663,-3.216455
-1.4522,-0.04260463,-3.147399
-1.490075,-0.007191978,-3.220118
-1.453356,-0.04975149,-3.152389
-1.489775,-0.01569973,-3.222313
-1.455187,-0.0557899,-3.158514
-1.488751,-0.02440763,-3.222956
-1.457622,-0.06048783,-3.165538
-1.487041,-0.03298103,-3.222022
-1.460568,-0.0636647,-3.173193
-1.484712,-0.04109048,-3.219548
-1.463913,-0.06519849,-3.181183
-1.481853,-0.04842431,-3.215628
-1.467526,-0.0650302,-3.189201
-1.478574,-0.05470071,-3.210412
-1.47127,-0.06316633,-3.19694
-1.475,-0.05967847,-3.204102
-1.464645,-0.06056981,-3.18126
-1.467881,-0.06041911,-3.188441
-1.471233,-0.05875002,-3.195371
-1.474574,-0.05562668,-3.201785
-1.477774,-0.05116913,-3.207435
-1.480711,-0.04554865,-3.212106
-1.46165,-0.05919632,-3.174105
-1.483271,-0.03898126,-3.215616
-1.459012,-0.05635145,-3.167251
-1.485356,-0.03171931,-3.217832
-1.456831,-0.05214448,-3.16096
-1.486887,-0.02404189,-3.218668
-1.455191,-0.04673713,-3.155476
-1.487804,-0.01624403,-3.218092
-1.454156,-0.04033718,-3.151008
-1.488073,-0.008625399,-3.216126
-1.453765,-0.03319057,-3.147727
-1.487682,-0.001478791,-3.212846
-1.454033,-0.02557195,-3.145762
-1.486647,0.004921146,-3.208378
-1.45495,-0.01777409,-3.145186
-1.485007,0.0103285,-3.202893
-1.456481,-0.01009667,-3.146022
-1.482826,0.01453546,-3.196603
-1.458567,-0.002834722,-3.148238
-1.480188,0.01738035,-3.189749
-1.461127,0.003732674,-3.151748
-1.477193,0.01875383,-3.182594
-1.464064,0.009353153,-3.156419
-1.473957,0.01860313,-3.175413
-1.467264,0.01381071,-3.162069
-1.470604,0.01693404,-3.168483
-1.460009,-0.004943945,-3.152169
-1.46227,0.0008570254,-3.15527
-1.464864,0.005821563,-3.159395
-1.46769,0.009758912,-3.164387
-1.470641,0.01251774,-3.170052
-1.473603,0.01399205,-3.176173
-1.458166,-0.01135839,-3.150212
-1.476461,0.01412515,-3.182516
-1.456814,-0.01813983,-3.149474
-1.479106,0.01291196,-3.188836
-1.456004,-0.02502765,-3.149982
-1.481436,0.01039909,-3.19489
-1.455767,-0.03175715,-3.151719
-1.483363,0.006683096,-3.200447
-1.456112,-0.03806972,-3.154616
-1.484811,0.001906797,-3.205291
-1.457027,-0.04372277,-3.158563
-1.485726,-0.003746249,-3.209238
-1.458475,-0.04849907,-3.163407
-1.486071,-0.01005883,-3.212135
-1.460401,-0.05221507,-3.168964
-1.485834,-0.01678833,-3.213871
-1.462732,-0.05472793,-3.175018
-1.485024,-0.02367615,-3.21438
-1.465377,-0.05594113,-3.181338
-1.483672,-0.03045759,-3.213642
-1.468235,-0.05580802,-3.187681
-1.481829,-0.03687204,-3.211684
-1.471197,-0.05433372,-3.193802
-1.479568,-0.042673,-3.208584
-1.474147,-0.05157489,-3.199467
-1.476974,-0.04763754,-3.204458
-1.46859,-0.05119694,-3.186921
-1.47116,-0.04991741,-3.192233
-1.473721,-0.04752309,-3.19715
-1.476174,-0.04410596,-3.201482
-1.478425,-0.03979734,-3.205062
-1.480388,-0.03476283,-3.207753
-1.466109,-0.05131245,-3.181416
-1.481987,-0.02919587,-3.209451
-1.463814,-0.05025955,-3.175931
-1.48316,-0.02331041,-3.210092
-1.461791,-0.04807869,-3.170676
-1.483863,-0.01733263,-3.209651
-1.460119,-0.04485366,-3.165854
-1.484069,-0.01149225,-3.208144
-1.458862,-0.04070842,-3.16165
-1.483769,-0.006013699,-3.20563
-1.458069,-0.03580226,-3.158224
-1.482976,-0.001107559,-3.202204
-1.457769,-0.03032373,-3.15571
-1.481719,0.003037684,-3.198
-1.457975,-0.02448335,-3.154203
-1.480047,0.006262712,-3.193177
-1.458678,-0.01850556,-3.153762
-1.478024,0.008443587,-3.187923
-1.459851,-0.01262011,-3.154402
-1.475729,0.009496473,-3.182438
-1.46145,-0.007053155,-3.156101
-1.473248,0.009380952,-3.176933
-1.463413,-0.002018638,-3.158792
-1.470678,0.008101434,-3.171621
-1.465664,0.002289988,-3.162372
-1.468117,0.005707115,-3.166704
-1.461536,-0.01388183,-3.158593
-1.462892,-0.00916237,-3.160033
-1.464556,-0.004894294,-3.162314
-1.466464,-0.001241595,-3.165349
-1.468544,0.001655318,-3.169022
-1.470715,0.003685139,-3.17319
-1.460541,-0.0188713,-3.158049
-1.472893,0.004769862,-3.177694
-1.459945,-0.02393905,-3.158424
-1.474996,0.0048678,-3.18236
-1.459771,-0.0288903,-3.159701
-1.476943,0.003975183,-3.18701
-1.460025,-0.03353481,-3.161833
-1.478657,0.002126336,-3.191465
-1.460698,-0.03769407,-3.164737
-1.480075,-0.0006077215,-3.195553
-1.461763,-0.04120825,-3.168301
-1.48114,-0.004121907,-3.199117
-1.463181,-0.04394231,-3.172389
-1.481813,-0.008281164,-3.202021
-1.464895,-0.04579116,-3.176844
-1.482067,-0.01292567,-3.204153
-1.466841,-0.04668377,-3.181494
-1.481893,-0.01787693,-3.20543
-1.468944,-0.04658584,-3.18616
-1.481297,-0.02294467,-3.205805
-1.471123,-0.04550111,-3.190664
-1.480302,-0.02793415,-3.205261
-1.473294,-0.04347129,-3.194832
-1.478946,-0.03265361,-3.203821
-1.475374,-0.04057438,-3.198505
-1.477282,-0.03692169,-3.20154
-1.471087,-0.04108481,-3.189095
-1.472868,-0.03941949,-3.192515
-1.474574,-0.03704279,-3.195528
-1.47614,-0.03404604,-3.198018
-1.477505,-0.0305444,-3.19989
-1.478617,-0.02667243,-3.201071
-1.469299,-0.04197475,-3.1854
-1.479433,-0.02257894,-3.201517
-1.467574,-0.0420551,-3.181571
-1.479922,-0.01842123,-3.20121
-1.465977,-0.04132278,-3.177757
-1.480065,-0.01435909,-3.200162
-1.46457,-0.03980593,-3.174102
-1.479857,-0.01054862,-3.198413
-1.463407,-0.03756284,-3.170748
-1.479305,-0.007136263,-3.19603
-1.462533,-0.03467971,-3.167824
-1.478431,-0.004253134,-3.193106
