X,Y,Z
-1.471574,-0.03274222,-3.242857
-1.471287,-0.0327424,-3.241802
-1.472327,-0.03255812,-3.242085
-1.47204,-0.03255829,-3.24103
-1.470999,-0.03274257,-3.240746
-1.47308,-0.03237401,-3.241313
-1.471752,-0.03255846,-3.239974
-1.470712,-0.03274274,-3.239691
-1.472793,-0.03237419,-3.240258
-1.473833,-0.03218991,-3.240541
-1.471465,-0.03255864,-3.238919
-1.470424,-0.03274292,-3.238635
-1.472505,-0.03237436,-3.239202
-1.473546,-0.03219008,-3.239486
-1.474586,-0.03200581,-3.239769
-1.471177,-0.03255881,-3.237863
-1.470136,-0.03274309,-3.237579
-1.472218,-0.03237453,-3.238146
-1.473258,-0.03219026,-3.23843
-1.474299,-0.03200598,-3.238713
-1.475339,-0.0318217,-3.238997
-1.470889,-0.03255899,-3.236807
-1.469849,-0.03274327,-3.236524
-1.47193,-0.03237471,-3.237091
-1.47297,-0.03219043,-3.237374
-1.474011,-0.03200616,-3.237658
-1.475052,-0.03182188,-3.237941
-1.476092,-0.0316376,-3.238225
-1.470602,-0.03255916,-3.235752
-1.469561,-0.03274344,-3.235468
-1.471642,-0.03237488,-3.236035
-1.470314,-0.03255934,-3.234696
-1.469274,-0.03274361,-3.234412
-1.471355,-0.03237506,-3.234979
-1.472395,-0.03219078,-3.235263
-1.472683,-0.03219061,-3.236319
-1.473436,-0.0320065,-3.235546
-1.473723,-0.03200633,-3.236602
-1.474476,-0.03182223,-3.23583
-1.474764,-0.03182205,-3.236886
-1.475517,-0.03163795,-3.236113
-1.475805,-0.03163777,-3.237169
-1.476557,-0.03145367,-3.236397
-1.476845,-0.03145349,-3.237453
-1.477598,-0.03126939,-3.23668
-1.477598,-0.03126939,-3.23668
-1.477598,-0.03067307,-3.237597
-1.476845,-0.03145349,-3.237453
-1.476845,-0.03085717,-3.23837
-1.477598,-0.03007675,-3.238515
-1.476092,-0.0316376,-3.238225
-1.476845,-0.03026085,-3.239287
-1.477598,-0.02948042,-3.239432
-1.476092,-0.03104128,-3.239142
-1.475339,-0.0318217,-3.238997
-1.476845,-0.02966453,-3.240204
-1.477598,-0.0288841,-3.24035
-1.476092,-0.03044495,-3.240059
-1.475339,-0.03122538,-3.239914
-1.474586,-0.03200581,-3.239769
-1.476845,-0.02906821,-3.241122
-1.477598,-0.02828778,-3.241267
-1.476092,-0.02984863,-3.240977
-1.475339,-0.03062906,-3.240831
-1.474586,-0.03140948,-3.240686
-1.473833,-0.03218991,-3.240541
-1.476845,-0.02847188,-3.242039
-1.477598,-0.02769146,-3.242184
-1.476092,-0.02925231,-3.241894
-1.475339,-0.03003274,-3.241749
-1.474586,-0.03081316,-3.241603
-1.473833,-0.03159359,-3.241458
-1.47308,-0.03237401,-3.241313
-1.476845,-0.02787556,-3.242956
-1.477598,-0.02709513,-3.243101
-1.476092,-0.02865599,-3.242811
-1.476845,-0.02727924,-3.243874
-1.477598,-0.02649881,-3.244019
-1.476092,-0.02805966,-3.243728
-1.475339,-0.02884009,-3.243583
-1.475339,-0.02943641,-3.242666
-1.474586,-0.02962052,-3.243438
-1.474586,-0.03021684,-3.242521
-1.473833,-0.03040094,-3.243293
-1.473833,-0.03099727,-3.242376
-1.47308,-0.03118137,-3.243148
-1.47308,-0.03177769,-3.24223
-1.472327,-0.03196179,-3.243003
-1.472327,-0.03255812,-3.242085
-1.471574,-0.03274222,-3.242857
-1.471574,-0.03274222,-3.242857
-1.470644,-0.03225996,-3.242544
-1.471287,-0.0327424,-3.241802
-1.470356,-0.03226013,-3.241488
-1.469713,-0.03177769,-3.24223
-1.470999,-0.03274257,-3.240746
-1.469425,-0.03177787,-3.241175
-1.468782,-0.03129543,-3.241917
-1.470069,-0.03226031,-3.240433
-1.470712,-0.03274274,-3.239691
-1.468495,-0.0312956,-3.240861
-1.467852,-0.03081316,-3.241603
-1.469138,-0.03177804,-3.240119
-1.469781,-0.03226048,-3.239377
-1.470424,-0.03274292,-3.238635
-1.467564,-0.03081333,-3.240548
-1.466921,-0.0303309,-3.24129
-1.468207,-0.03129578,-3.239806
-1.46885,-0.03177821,-3.239064
-1.469493,-0.03226065,-3.238322
-1.470136,-0.03274309,-3.237579
-1.466633,-0.03033107,-3.240234
-1.46599,-0.02984863,-3.240977
-1.467276,-0.03081351,-3.239492
-1.467919,-0.03129595,-3.23875
-1.468563,-0.03177839,-3.238008
-1.469206,-0.03226083,-3.237266
-1.469849,-0.03274327,-3.236524
