X,Y,Z
0.9544095,-0.1803111,-0.1361303
0.4988651,-0.3168823,-0.4351786
0.5966684,-0.08177456,-0.4194869
0.8077044,-0.5329727,-0.1596679
0.9544097,-0.180309,-0.1361307
0.8077056,-0.5329709,-0.1596681
0.9544097,-0.1803088,-0.1361298
0.8077061,-0.5329708,-0.1596676
0.9544098,-0.180308,-0.1361303
0.8077061,-0.5329705,-0.1596682
0.95441,-0.180307,-0.1361299
0.8077067,-0.5329699,-0.159668
0.9544102,-0.1803053,-0.1361302
0.8077077,-0.5329683,-0.1596681
0.9544106,-0.1803043,-0.1361294
0.8077074,-0.5329683,-0.1596678
0.9544103,-0.1803038,-0.13613
0.8077079,-0.5329677,-0.1596681
0.9544107,-0.180303,-0.1361295
0.8077083,-0.5329672,-0.1596679
0.9544108,-0.1803021,-0.1361295
0.807709,-0.5329663,-0.1596677
0.954411,-0.1803009,-0.1361292
0.8077092,-0.5329657,-0.1596677
0.9544111,-0.1803001,-0.1361294
0.8077096,-0.532965,-0.1596681
0.9519857,-0.1756212,-0.1570642
0.8060911,-0.5298358,-0.1766624
0.9472604,-0.1694495,-0.1864388
0.8383344,-0.4698051,-0.2048178
-0.9558139,-0.1998014,0.09186815
-0.6758775,0.15864,-0.2379794
-0.6768138,-0.09476813,-0.2674879
-0.9544094,0.1803107,0.1361308
-0.9558135,-0.1998028,0.09186798
-0.9544099,0.1803093,0.1361304
-0.9558133,-0.1998032,0.09186767
-0.9544102,0.1803086,0.1361302
-0.9558131,-0.199805,0.09186772
-0.9544103,0.1803074,0.1361303
-0.9558129,-0.1998052,0.09186745
-0.9544106,0.1803069,0.1361299
-0.9558126,-0.1998064,0.09186729
-0.9544109,0.1803055,0.1361299
-0.9558126,-0.1998069,0.09186734
-0.9544109,0.1803049,0.1361299
-0.9558125,-0.1998074,0.09186723
-0.954411,0.1803043,0.1361301
-0.9558124,-0.1998075,0.0918672
-0.9544114,0.1803036,0.1361298
-0.9558121,-0.1998089,0.091867
-0.9544116,0.1803026,0.1361296
-0.9558122,-0.1998093,0.09186702
-0.9544117,0.1803017,0.1361295
-0.9558121,-0.19981,0.09186682
-0.954412,0.1803004,0.1361294
-0.9530734,-0.2042033,0.1085992
-0.953019,0.1770626,0.1488377
-0.9467447,-0.2106972,0.1414441
-0.9485585,0.1712028,0.1778255
-0.9544094,0.1803107,0.1361308
-0.5780742,0.3937477,-0.2222877
-0.6758775,0.15864,-0.2379794
-0.8077045,0.5329723,0.1596685
-0.9544099,0.1803093,0.1361304
-0.8077058,0.5329708,0.159668
-0.9544102,0.1803086,0.1361302
-0.8077065,0.5329696,0.1596679
-0.9544103,0.1803074,0.1361303
-0.8077069,0.532969,0.1596681
-0.9544106,0.1803069,0.1361299
-0.8077074,0.5329684,0.1596677
-0.9544109,0.1803055,0.1361299
-0.8077079,0.5329673,0.1596678
-0.9544109,0.1803049,0.1361299
-0.8077085,0.5329666,0.1596679
-0.954411,0.1803043,0.1361301
-0.8077092,0.5329656,0.159668
-0.9544114,0.1803036,0.1361298
-0.8077097,0.5329648,0.1596677
-0.9544116,0.1803026,0.1361296
-0.8077104,0.5329637,0.1596676
-0.9544117,0.1803017,0.1361295
-0.8077105,0.5329634,0.1596675
-0.954412,0.1803004,0.1361294
-0.8077111,0.5329623,0.1596675
-0.953019,0.1770626,0.1488377
-0.8070707,0.5312693,0.167796
-0.9485585,0.1712028,0.1778255
-0.839649,0.4719084,0.1944153
0.9558138,0.1998017,-0.09186792
0.5966684,-0.08177456,-0.4194869
0.5976046,0.1716339,-0.3899786
0.9544095,-0.1803111,-0.1361303
0.9558133,0.1998038,-0.09186818
0.9544097,-0.180309,-0.1361307
0.9558133,0.1998045,-0.09186716
0.9544097,-0.1803088,-0.1361298
0.9558132,0.1998052,-0.09186757
0.9544098,-0.180308,-0.1361303
0.9558131,0.1998064,-0.09186733
0.95441,-0.180307,-0.1361299
0.9558129,0.1998073,-0.09186751
0.9544102,-0.1803053,-0.1361302
0.9558128,0.1998084,-0.09186664
0.9544106,-0.1803043,-0.1361294
0.9558126,0.1998089,-0.09186728
0.9544103,-0.1803038,-0.13613
0.9558124,0.1998098,-0.09186681
0.9544107,-0.180303,-0.1361295
0.9558124,0.1998104,-0.09186706
0.9544108,-0.1803021,-0.1361295
0.9558125,0.1998111,-0.09186651
0.954411,-0.1803009,-0.1361292
