X,Y,Z
-1.500614,0.01472707,-3.300314
-1.501509,0.01419223,-3.303261
-1.501107,0.01516038,-3.303216
-1.501017,0.01375893,-3.300358
-1.500122,0.01429378,-3.297411
-1.500525,0.01332562,-3.297456
-1.49963,0.01386048,-3.294508
-1.500033,0.01289232,-3.294553
-1.499138,0.01342717,-3.291605
-1.499541,0.01245903,-3.29165
-1.498646,0.01299388,-3.288703
-1.499049,0.01202573,-3.288747
-1.498154,0.01256057,-3.2858
-1.498557,0.01159242,-3.285845
-1.497662,0.01212727,-3.282897
-1.498065,0.01115913,-3.282942
-1.49717,0.01169397,-3.279994
-1.497573,0.01072583,-3.280039
-1.496678,0.01126067,-3.277092
-1.497081,0.01029252,-3.277136
-1.496186,0.01082736,-3.274189
-1.496588,0.009859223,-3.274234
-1.495694,0.01039407,-3.271286
-1.496096,0.009425923,-3.271331
-1.495202,0.009960763,-3.268384
-1.495604,0.008992616,-3.268428
-1.49471,0.009527463,-3.265481
-1.495112,0.008559309,-3.265525
-1.494183,0.009110861,-3.262617
-1.494581,0.008144598,-3.262666
-1.506056,0.01477071,-3.300095
-1.50656,0.01625553,-3.302931
-1.506548,0.01520401,-3.302998
-1.506068,0.01582222,-3.300029
-1.505563,0.0143374,-3.297192
-1.505576,0.01538891,-3.297126
-1.505072,0.01390409,-3.294289
-1.505084,0.0149556,-3.294223
-1.504579,0.01347079,-3.291387
-1.504592,0.0145223,-3.29132
-1.504087,0.01303748,-3.288484
-1.5041,0.01408898,-3.288418
-1.503595,0.01260417,-3.285581
-1.503608,0.01365568,-3.285515
-1.503103,0.01217086,-3.282678
-1.503116,0.01322237,-3.282612
-1.502611,0.01173756,-3.279776
-1.502624,0.01278906,-3.279709
-1.502119,0.01130425,-3.276873
-1.502132,0.01235575,-3.276807
-1.501627,0.01087094,-3.27397
-1.50164,0.01192245,-3.273904
-1.501135,0.01043763,-3.271067
-1.501148,0.01148913,-3.271001
-1.500643,0.01000433,-3.268165
-1.500655,0.01105583,-3.268098
-1.500151,0.00957102,-3.265262
-1.500163,0.01062252,-3.265195
-1.499634,0.009149529,-3.262386
-1.499651,0.01019906,-3.262316
-1.506068,0.01582222,-3.300029
-1.506158,0.01722368,-3.302887
-1.50656,0.01625553,-3.302931
-1.505666,0.01679037,-3.299984
-1.505576,0.01538891,-3.297126
-1.505174,0.01635706,-3.297081
-1.505084,0.0149556,-3.294223
-1.504681,0.01592375,-3.294178
-1.504592,0.0145223,-3.29132
-1.504189,0.01549044,-3.291276
-1.5041,0.01408898,-3.288418
-1.503697,0.01505714,-3.288373
-1.503608,0.01365568,-3.285515
-1.503205,0.01462383,-3.28547
-1.503116,0.01322237,-3.282612
-1.502713,0.01419052,-3.282568
-1.502624,0.01278906,-3.279709
-1.502221,0.01375722,-3.279665
-1.502132,0.01235575,-3.276807
-1.501729,0.0133239,-3.276762
-1.50164,0.01192245,-3.273904
-1.501237,0.0128906,-3.273859
-1.501148,0.01148913,-3.271001
-1.500745,0.01245729,-3.270957
-1.500655,0.01105583,-3.268098
-1.500253,0.01202398,-3.268054
-1.500163,0.01062252,-3.265195
-1.499761,0.01159067,-3.265151
-1.499651,0.01019906,-3.262316
-1.499251,0.01116586,-3.262268
-1.500627,0.01577859,-3.300247
-1.501107,0.01516038,-3.303216
-1.501119,0.01621189,-3.30315
-1.500614,0.01472707,-3.300314
-1.500135,0.01534529,-3.297345
-1.500122,0.01429378,-3.297411
-1.499643,0.01491199,-3.294442
-1.49963,0.01386048,-3.294508
-1.499151,0.01447869,-3.291539
-1.499138,0.01342717,-3.291605
-1.498659,0.01404538,-3.288636
-1.498646,0.01299388,-3.288703
-1.498167,0.01361209,-3.285734
-1.498154,0.01256057,-3.2858
-1.497675,0.01317879,-3.282831
-1.497662,0.01212727,-3.282897
-1.497183,0.01274548,-3.279928
-1.49717,0.01169397,-3.279994
-1.496691,0.01231218,-3.277025
-1.496678,0.01126067,-3.277092
-1.496198,0.01187888,-3.274123
-1.496186,0.01082736,-3.274189
-1.495706,0.01144559,-3.27122
-1.495694,0.01039407,-3.271286
-1.495214,0.01101228,-3.268317
-1.495202,0.009960763,-3.268384
-1.494722,0.01057899,-3.265414
-1.49471,0.009527463,-3.265481
-1.4942,0.01016006,-3.262545
-1.494183,0.009110861,-3.262617
-1.50563,0.01379592,-3.300173
-1.506548,0.01520401,-3.302998
-1.506122,0.01422923,-3.303076
-1.506056,0.01477071,-3.300095
-1.505138,0.01336261,-3.29727
-1.505563,0.0143374,-3.297192
-1.504646,0.01292931,-3.294367
-1.505072,0.01390409,-3.294289
-1.504154,0.01249599,-3.291465
-1.504579,0.01347079,-3.291387
-1.503662,0.01206269,-3.288562
-1.504087,0.01303748,-3.288484
-1.503169,0.01162938,-3.285659
-1.503595,0.01260417,-3.285581
-1.502677,0.01119607,-3.282756
-1.503103,0.01217086,-3.282678
-1.502185,0.01076276,-3.279854
-1.502611,0.01173756,-3.279776
-1.501693,0.01032946,-3.276951
-1.502119,0.01130425,-3.276873
-1.501201,0.009896148,-3.274048
-1.501627,0.01087094,-3.27397
-1.500709,0.009462837,-3.271145
-1.501135,0.01043763,-3.271067
-1.500217,0.009029534,-3.268242
-1.500643,0.01000433,-3.268165
-1.499725,0.00859623,-3.26534
-1.500151,0.00957102,-3.265262
-1.499203,0.008177124,-3.26247
-1.499634,0.009149529,-3.262386
-1.501053,0.01675338,-3.300169
-1.501119,0.01621189,-3.30315
-1.501545,0.01718668,-3.303072
-1.500627,0.01577859,-3.300247
-1.500561,0.01632007,-3.297267
-1.500135,0.01534529,-3.297345
-1.500069,0.01588677,-3.294364
-1.499643,0.01491199,-3.294442
-1.499577,0.01545347,-3.291461
-1.499151,0.01447869,-3.291539
-1.499085,0.01502016,-3.288558
-1.498659,0.01404538,-3.288636
-1.498592,0.01458686,-3.285656
-1.498167,0.01361209,-3.285734
-1.4981,0.01415356,-3.282753
-1.497675,0.01317879,-3.282831
-1.497608,0.01372026,-3.27985
-1.497183,0.01274548,-3.279928
-1.497116,0.01328696,-3.276947
-1.496691,0.01231218,-3.277025
-1.496624,0.01285365,-3.274045
-1.496198,0.01187888,-3.274123
-1.496132,0.01242035,-3.271142
-1.495706,0.01144559,-3.27122
-1.49564,0.01198705,-3.268239
-1.495214,0.01101228,-3.268317
-1.495148,0.01155375,-3.265337
-1.494722,0.01057899,-3.265414
-1.494631,0.01113251,-3.262462
-1.4942,0.01016006,-3.262545
-1.504856,0.01304625,-3.300251
-1.506122,0.01422923,-3.303076
-1.505348,0.01347956,-3.303153
-1.50563,0.01379592,-3.300173
-1.504364,0.01261295,-3.297348
-1.505138,0.01336261,-3.29727
-1.503871,0.01217964,-3.294445
-1.504646,0.01292931,-3.294367
-1.503379,0.01174633,-3.291542
-1.504154,0.01249599,-3.291465
-1.502887,0.01131303,-3.28864
-1.503662,0.01206269,-3.288562
-1.502395,0.01087972,-3.285737
-1.503169,0.01162938,-3.285659
-1.501903,0.01044642,-3.282834
-1.502677,0.01119607,-3.282756
-1.501411,0.01001311,-3.279931
-1.502185,0.01076276,-3.279854
-1.500919,0.009579804,-3.277029
-1.501693,0.01032946,-3.276951
-1.500427,0.009146497,-3.274126
