X,Y,Z
0.9558988,1.192093E-07,-0.2936969
0.6372658,0.3333334,-0.1957979
0.414594,0.3333333,0.221323
0.733227,7.916242E-08,0.123424
0.9558982,1.192093E-07,-0.2936988
0.6372658,0.3333334,-0.1957979
0.477949,0.5,-0.1468494
0.9558982,1.192093E-07,-0.2936988
0.477949,0.5,-0.1468494
0.3279866,5.913898E-08,-0.6238299
0.2186577,0.3333333,-0.4158866
0.3279866,5.913898E-08,-0.6238299
0.9558982,1.192093E-07,-0.2936988
0.3279866,5.913898E-08,-0.6238299
0.9558982,1.192093E-07,-0.2936988
0.9558982,1.192093E-07,-0.2936988
0.3279859,5.913898E-08,-0.6238297
0.9558988,1.192093E-07,-0.2936969
0.733227,7.916242E-08,0.123424
0.621891,5.913898E-08,0.3319845
0.9558982,1.192093E-07,-0.2936988
0.3279858,5.913898E-08,-0.6238302
0.9558982,1.192093E-07,-0.2936988
0.9558988,1.192093E-07,-0.2936969
0.621891,5.913898E-08,0.3319845
0.9558982,1.192093E-07,-0.2936988
0.3279856,5.913898E-08,-0.6238307
0.9558982,1.192093E-07,-0.2936988
0.9558988,1.192093E-07,-0.2936969
0.621891,5.913898E-08,0.3319845
0.9558982,1.192093E-07,-0.2936988
0.3279856,5.913898E-08,-0.6238307
0.9558982,1.192093E-07,-0.2936988
0.9558988,1.192093E-07,-0.2936969
0.621891,5.913898E-08,0.3319845
0.9558982,1.192093E-07,-0.2936988
0.3279856,5.913898E-08,-0.6238307
0.9558982,1.192093E-07,-0.2936988
0.9558985,1.192093E-07,-0.2936978
0.6218908,5.913898E-08,0.331984
0.9558988,1.192093E-07,-0.2936969
0.3279856,5.913898E-08,-0.6238307
0.9558982,1.192093E-07,-0.2936988
0.9558985,1.192093E-07,-0.2936978
0.6218908,5.913898E-08,0.331984
0.9558988,1.192093E-07,-0.2936969
0.3279856,5.913898E-08,-0.6238307
0.9558988,1.192093E-07,-0.2936969
0.9558982,1.192093E-07,-0.2936988
0.6218907,5.913898E-08,0.3319835
0.9558988,1.192093E-07,-0.2936969
0.3279856,5.913898E-08,-0.6238307
0.9558988,1.192093E-07,-0.2936969
0.9558982,1.192093E-07,-0.2936988
0.6218907,5.913898E-08,0.3319835
0.9558988,1.192093E-07,-0.2936969
0.2186571,-0.3333333,-0.4158871
0.4779491,-0.4999999,-0.1468494
0.9558988,1.192093E-07,-0.2936969
0.9558982,1.192093E-07,-0.2936988
0.6218907,5.913898E-08,0.3319835
0.9558988,1.192093E-07,-0.2936969
0.4779494,-0.4999999,-0.1468485
0.9558982,1.192093E-07,-0.2936988
0.6218907,5.913898E-08,0.3319835
0.4779494,-0.4999999,-0.1468485
0.4145938,-0.3333333,0.2213223
-0.9492977,-1.192093E-07,0.314379
-0.6192912,-5.937181E-08,-0.3214322
-0.7292933,-7.931764E-08,-0.1094951
-0.9492977,-1.192093E-07,0.314379
-0.6192912,-5.937181E-08,-0.3214322
-0.9492977,-1.192093E-07,0.3143789
-0.9492977,-1.192093E-07,0.3143789
-0.9492977,-1.192093E-07,0.314379
-0.9492977,-1.192093E-07,0.3143789
-0.6192912,-5.937181E-08,-0.3214322
-0.9492977,-1.192093E-07,0.3143789
-0.9492977,-1.192093E-07,0.314379
-0.6192912,-5.937181E-08,-0.3214322
-0.9492977,-1.192093E-07,0.314379
-0.6192912,-5.937181E-08,-0.3214322
-0.9492977,-1.192093E-07,0.3143789
-0.9492977,-1.192093E-07,0.314379
-0.6192912,-5.937181E-08,-0.3214322
-0.949298,-1.192093E-07,0.314378
-0.9492977,-1.192093E-07,0.314379
-0.6192912,-5.937181E-08,-0.3214322
-0.949298,-1.192093E-07,0.314378
-0.9492977,-1.192093E-07,0.314379
-0.6192912,-5.937181E-08,-0.3214322
-0.9492987,-1.192093E-07,0.3143761
-0.9492977,-1.192093E-07,0.314379
-0.6192912,-5.937181E-08,-0.3214322
-0.9492987,-1.192093E-07,0.3143761
-0.9492977,-1.192093E-07,0.314379
-0.6192912,-5.937181E-08,-0.3214322
-0.9492984,-1.192093E-07,0.314377
-0.9492977,-1.192093E-07,0.314379
-0.4128609,0.3333333,-0.2142881
-0.4746489,0.4999999,0.1571895
-0.9492984,-1.192093E-07,0.314377
-0.9492984,-1.192093E-07,0.314377
-0.4746493,0.4999999,0.1571885
-0.9492984,-1.192093E-07,0.314377
-0.4746493,0.4999999,0.1571885
-0.9492984,-1.192093E-07,0.314377
-0.3253743,-5.937181E-08,0.6343867
-0.2169162,0.3333333,0.4229244
-0.3253743,-5.937181E-08,0.6343867
-0.3253743,-5.937181E-08,0.6343867
-0.9492984,-1.192093E-07,0.314377
-0.3253743,-5.937181E-08,0.6343867
-0.9492987,-1.192093E-07,0.3143761
-0.3253743,-5.937181E-08,0.6343867
-0.9492987,-1.192093E-07,0.3143761
-0.3253748,-5.937181E-08,0.6343853
-0.949298,-1.192093E-07,0.314378
-0.3253748,-5.937181E-08,0.6343853
-0.949298,-1.192093E-07,0.314378
-0.3253747,-5.937181E-08,0.6343857
-0.9492977,-1.192093E-07,0.3143789
-0.3253747,-5.937181E-08,0.6343857
-0.9492977,-1.192093E-07,0.3143789
-0.3253747,-5.937181E-08,0.6343857
-0.9492977,-1.192093E-07,0.3143789
-0.3253747,-5.937181E-08,0.6343857
-0.9492981,-1.192093E-07,0.3143779
-0.9492977,-1.192093E-07,0.3143789
-0.9492981,-1.192093E-07,0.3143779
-0.2169164,-0.3333333,0.4229238
-0.6328654,-0.3333334,0.2095853
-0.6328654,-0.3333334,0.2095853
-0.6328651,-0.3333334,0.2095859
-0.6328651,-0.3333334,0.2095859
-0.4746488,-0.5,0.1571895
-0.7292933,-7.931764E-08,-0.1094951
-0.4128608,-0.3333333,-0.2142882
0.3188803,0.003570523,-0.6338969
-0.1542333,0.4989271,-0.5061567
0.2119594,0.3347972,-0.447266
-0.3107221,-0.000231076,-0.950501
0.3188806,0.003570702,-0.6338961
-0.1542333,0.4989271,-0.5061567
-0.3103865,-0.0002297834,-0.9506107
0.3190485,0.00357203,-0.6339508
-0.3107221,-0.000231076,-0.950501
-0.1497133,0.4996579,-0.4921928
-0.3103865,-0.0002297834,-0.9506107
0.3190485,0.003571911,-0.6339509
-0.3103865,-0.0002297834,-0.9506107
-0.3107203,-4.609302E-05,-0.9505016
-0.4221846,0.3333179,-0.2188637
-0.6332767,-2.310611E-05,-0.3282956
-0.3103835,-4.540198E-05,-0.9506116
-0.6331083,-2.276059E-05,-0.3283506
-0.3100545,-0.0002285149,-0.950719
0.319213,0.003572502,-0.6340046
-0.3103865,-0.0002297834,-0.9506107
-0.3103835,-4.540198E-05,-0.9506116
-0.6331083,-2.276059E-05,-0.3283506
-0.3100545,-0.0002285149,-0.950719
0.3192127,0.003572443,-0.6340054
-0.3100545,-0.0002285149,-0.950719
-0.3100505,-4.543923E-05,-0.9507203
-0.6329418,-2.277922E-05,-0.328405
-0.3097253,-0.000226194,-0.9508263
0.3193759,0.003573929,-0.6340586
-0.3100545,-0.0002285149,-0.950719
-0.3100505,-4.543923E-05,-0.9507203
-0.6329418,-2.277922E-05,-0.328405
-0.3097253,-0.000226194,-0.9508263
0.3194579,0.003574654,-0.6340843
-0.3097253,-0.000226194,-0.9508263
-0.3097241,-4.512072E-05,-0.9508267
-0.6327786,-2.261996E-05,-0.3284582
-0.3094034,-0.0002246145,-0.9509311
0.3195367,0.003575207,-0.63411
-0.3097253,-0.000226194,-0.9508263
-0.3097241,-4.512072E-05,-0.9508267
-0.6327786,-2.261996E-05,-0.3284582
-0.3094034,-0.0002246145,-0.9509311
0.3195364,0.003575088,-0.6341107
-0.3094034,-0.0002246145,-0.9509311
