X,Y,Z
-1.48078,0.01669444,-3.184536
-1.48078,0.01747333,-3.184536
-1.480668,0.01747333,-3.184172
-1.480668,0.01669444,-3.184172
-1.480892,0.01669444,-3.1849
-1.48078,0.01747333,-3.184536
-1.480892,0.01747333,-3.1849
-1.481004,0.01669444,-3.185264
-1.481004,0.01747333,-3.185264
-1.481115,0.01669444,-3.185628
-1.481115,0.01747333,-3.185628
-1.481115,0.01591555,-3.185628
-1.481004,0.01591555,-3.185264
-1.481115,0.01513667,-3.185628
-1.480892,0.01591556,-3.1849
-1.481004,0.01513667,-3.185264
-1.481115,0.01435778,-3.185628
-1.48078,0.01591555,-3.184536
-1.480668,0.01669444,-3.184172
-1.480668,0.01591555,-3.184172
-1.481004,0.01435778,-3.185264
-1.481115,0.01357889,-3.185628
-1.480892,0.01513667,-3.1849
-1.48078,0.01513667,-3.184536
-1.480668,0.01513667,-3.184172
-1.481004,0.01357889,-3.185264
-1.481115,0.0128,-3.185628
-1.480892,0.01435778,-3.1849
-1.48078,0.01435778,-3.184536
-1.480668,0.01435778,-3.184172
-1.481004,0.0128,-3.185264
-1.481115,0.01202111,-3.185628
-1.480892,0.01357889,-3.1849
-1.48078,0.01357889,-3.184536
-1.480668,0.01357889,-3.184172
-1.481004,0.01202111,-3.185264
-1.481115,0.01124222,-3.185628
-1.480892,0.0128,-3.1849
-1.48078,0.0128,-3.184536
-1.480668,0.0128,-3.184172
-1.481004,0.01124222,-3.185264
-1.481115,0.01046333,-3.185628
-1.480892,0.01202111,-3.1849
-1.48078,0.01202111,-3.184536
-1.480668,0.01202111,-3.184172
-1.481004,0.01046334,-3.185264
-1.481115,0.009684446,-3.185628
-1.480892,0.01124222,-3.1849
-1.48078,0.01124222,-3.184536
-1.480668,0.01124222,-3.184172
-1.481004,0.009684446,-3.185264
-1.481115,0.008905558,-3.185628
-1.480892,0.01046333,-3.1849
-1.48078,0.01046333,-3.184536
-1.480668,0.01046334,-3.184172
-1.481004,0.008905558,-3.185264
-1.481115,0.008126669,-3.185628
-1.481004,0.008126669,-3.185264
-1.480892,0.009684446,-3.1849
-1.48078,0.009684446,-3.184536
-1.480668,0.009684446,-3.184172
-1.480892,0.008905558,-3.1849
-1.480892,0.008126669,-3.1849
-1.48078,0.008905558,-3.184536
-1.480668,0.008905558,-3.184172
-1.48078,0.008126669,-3.184536
-1.480668,0.008126669,-3.184172
-1.508773,0.008905557,-3.227124
-1.508893,0.009684445,-3.227486
-1.508893,0.008905556,-3.227486
-1.508773,0.009684444,-3.227124
-1.508893,0.01046333,-3.227486
-1.508654,0.008905557,-3.226763
-1.508654,0.009684444,-3.226763
-1.508773,0.01046333,-3.227124
-1.508654,0.009684444,-3.226763
-1.508893,0.01124222,-3.227486
-1.508654,0.01046333,-3.226763
-1.508773,0.01124222,-3.227124
-1.508893,0.01202111,-3.227486
-1.508773,0.01202111,-3.227124
-1.508893,0.0128,-3.227486
-1.508654,0.01124222,-3.226763
-1.508773,0.0128,-3.227124
-1.508893,0.01357889,-3.227486
-1.508654,0.01202111,-3.226763
-1.508773,0.01357889,-3.227124
-1.508893,0.01435778,-3.227486
-1.508654,0.0128,-3.226763
-1.508773,0.01435778,-3.227124
-1.508893,0.01513666,-3.227486
-1.508654,0.01357889,-3.226763
-1.508773,0.01513666,-3.227124
-1.508893,0.01591555,-3.227486
-1.508654,0.01435778,-3.226763
-1.508773,0.01591555,-3.227124
-1.508893,0.01669444,-3.227486
-1.508654,0.01513666,-3.226763
-1.508773,0.01669444,-3.227124
-1.508893,0.01747333,-3.227486
-1.508773,0.01747333,-3.227124
-1.508654,0.01591555,-3.226763
-1.508654,0.01669444,-3.226763
-1.508654,0.01747333,-3.226763
-1.508534,0.01669444,-3.226402
-1.508534,0.01747333,-3.226402
-1.508534,0.01591555,-3.226402
-1.508414,0.01669444,-3.22604
-1.508414,0.01747333,-3.22604
-1.508414,0.01591555,-3.22604
-1.508414,0.01513666,-3.22604
-1.508534,0.01513666,-3.226402
-1.508414,0.01435778,-3.22604
-1.508534,0.01435778,-3.226402
-1.508414,0.01357889,-3.22604
-1.508534,0.01357889,-3.226402
-1.508414,0.0128,-3.22604
-1.508534,0.0128,-3.226402
-1.508414,0.01202111,-3.22604
-1.508534,0.01202111,-3.226402
-1.508414,0.01124222,-3.22604
-1.508534,0.01124222,-3.226402
-1.508414,0.01046333,-3.22604
-1.508534,0.01046333,-3.226402
-1.508414,0.009684444,-3.22604
-1.508534,0.009684444,-3.226402
-1.508414,0.008905557,-3.22604
-1.508534,0.008905557,-3.226402
-1.508654,0.008905557,-3.226763
-1.508534,0.008905557,-3.226402
-1.508414,0.008126667,-3.22604
-1.508534,0.008126667,-3.226402
-1.508534,0.008126667,-3.226402
-1.508654,0.008126667,-3.226763
-1.508654,0.008126667,-3.226763
-1.508773,0.008126667,-3.227124
-1.508893,0.008905556,-3.227486
-1.508893,0.008126667,-3.227486
-1.516751,0.0166619,-3.225187
-1.518812,0.01744593,-3.224514
-1.516781,0.0174368,-3.225178
-1.51879,0.01667003,-3.22452
-1.516721,0.015887,-3.225194
-1.520843,0.01745506,-3.22385
-1.518767,0.01589414,-3.224526
-1.516692,0.01511209,-3.225203
-1.520828,0.01667817,-3.223854
-1.522874,0.01746419,-3.223186
-1.518745,0.01511824,-3.224532
-1.516662,0.01433719,-3.225211
-1.520813,0.01590127,-3.223858
-1.522867,0.0166863,-3.223188
-1.524905,0.01747333,-3.222522
-1.524905,0.01669444,-3.222522
-1.522859,0.01590841,-3.22319
-1.524905,0.01591555,-3.222522
-1.518723,0.01434234,-3.224539
